"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.81918,37.92132,10714.27,3265.71
2,-107.81889,37.92161,10647.15,3245.25
3,-107.81861,37.92204,10566.80,3220.76
4,-107.81832,37.92247,10501.44,3200.84
5,-107.81812,37.92280,10457.87,3187.56
6,-107.81800,37.92314,10418.90,3175.68
7,-107.81783,37.92364,10366.40,3159.68
8,-107.81769,37.92395,10328.74,3148.20
9,-107.81761,37.92408,10317.82,3144.87
10,-107.81747,37.92434,10292.52,3137.16
11,-107.81733,37.92460,10246.36,3123.09
12,-107.81730,37.92476,10228.22,3117.56
13,-107.81731,37.92495,10211.42,3112.44
14,-107.81740,37.92528,10155.54,3095.41
15,-107.81745,37.92547,10127.95,3087.00
16,-107.81745,37.92563,10117.49,3083.81
17,-107.81740,37.92589,10081.56,3072.86
18,-107.81733,37.92620,10039.37,3060.00
19,-107.81732,37.92632,10028.84,3056.79
20,-107.81734,37.92647,10033.27,3058.14
21,-107.81739,37.92661,10032.48,3057.90
22,-107.81750,37.92684,10012.80,3051.90
23,-107.81757,37.92700,9998.75,3047.62
24,-107.81763,37.92719,9980.74,3042.13
