"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.82386,37.91862,11446.49,3488.89
2,-107.82401,37.91864,11440.13,3486.95
3,-107.82409,37.91863,11437.93,3486.28
4,-107.82446,37.91855,11421.62,3481.31
5,-107.82481,37.91840,11408.04,3477.17
6,-107.82504,37.91834,11399.38,3474.53
7,-107.82524,37.91831,11391.31,3472.07
8,-107.82540,37.91831,11386.16,3470.50
9,-107.82557,37.91835,11380.77,3468.86
10,-107.82582,37.91842,11374.18,3466.85
11,-107.82598,37.91851,11364.90,3464.02
12,-107.82623,37.91870,11349.18,3459.23
13,-107.82640,37.91887,11340.22,3456.50
14,-107.82685,37.91931,11316.93,3449.40
15,-107.82736,37.91973,11292.06,3441.82
