"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.84358,37.89950,11253.90,3430.19
2,-107.84358,37.89959,11250.30,3429.09
3,-107.84355,37.89974,11236.35,3424.84
4,-107.84342,37.90006,11205.68,3415.49
5,-107.84338,37.90028,11194.06,3411.95
6,-107.84339,37.90047,11182.64,3408.47
7,-107.84342,37.90076,11161.88,3402.14
8,-107.84342,37.90099,11154.20,3399.80
9,-107.84340,37.90122,11146.16,3397.35
10,-107.84333,37.90141,11138.88,3395.13
11,-107.84325,37.90151,11135.70,3394.16
12,-107.84314,37.90160,11129.33,3392.22
13,-107.84289,37.90174,11120.67,3389.58
14,-107.84280,37.90177,11118.18,3388.82
15,-107.84263,37.90183,11114.83,3387.80
16,-107.84248,37.90189,11109.91,3386.30
17,-107.84235,37.90193,11105.84,3385.06
18,-107.84206,37.90200,11104.82,3384.75
19,-107.84168,37.90208,11090.85,3380.49
20,-107.84145,37.90210,11080.12,3377.22
21,-107.84128,37.90210,11068.60,3373.71
22,-107.84063,37.90211,11028.08,3361.36
