"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.83889,37.90256,10992.52,3350.52
2,-107.83888,37.90273,10989.37,3349.56
3,-107.83887,37.90301,10983.66,3347.82
4,-107.83886,37.90339,10990.32,3349.85
5,-107.83877,37.90398,10978.31,3346.19
6,-107.83873,37.90444,10944.72,3335.95
7,-107.83869,37.90490,10893.90,3320.46
8,-107.83867,37.90525,10842.55,3304.81
9,-107.83865,37.90538,10829.72,3300.90
10,-107.83858,37.90542,10824.87,3299.42
11,-107.83842,37.90544,10820.57,3298.11
12,-107.83832,37.90546,10820.54,3298.10
13,-107.83822,37.90551,10818.41,3297.45
14,-107.83816,37.90558,10817.03,3297.03
15,-107.83811,37.90567,10815.22,3296.48
16,-107.83810,37.90576,10813.22,3295.87
17,-107.83808,37.90593,10806.79,3293.91
18,-107.83805,37.90604,10805.68,3293.57
19,-107.83797,37.90611,10808.46,3294.42
20,-107.83787,37.90619,10806.40,3293.79
21,-107.83779,37.90625,10802.79,3292.69
