"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.84359,37.90662,11056.37,3369.98
2,-107.84340,37.90683,11052.53,3368.81
3,-107.84317,37.90687,11051.21,3368.41
4,-107.84292,37.90694,11047.61,3367.31
5,-107.84267,37.90703,11041.04,3365.31
6,-107.84239,37.90719,11032.81,3362.80
7,-107.84226,37.90736,11024.74,3360.34
8,-107.84215,37.90752,11016.24,3357.75
9,-107.84218,37.90756,11015.32,3357.47
10,-107.84222,37.90764,11013.25,3356.84
11,-107.84237,37.90817,11001.77,3353.34
12,-107.84235,37.90834,10998.69,3352.40
13,-107.84230,37.90846,10997.64,3352.08
14,-107.84225,37.90871,10992.88,3350.63
15,-107.84217,37.90888,10985.79,3348.47
16,-107.84215,37.90897,10983.79,3347.86
17,-107.84220,37.90905,10982.78,3347.55
18,-107.84220,37.90913,10981.10,3347.04
19,-107.84217,37.90926,10969.46,3343.49
20,-107.84201,37.90962,10846.16,3305.91
21,-107.84177,37.91005,10718.80,3267.09
22,-107.84158,37.91042,10669.03,3251.92
23,-107.84145,37.91069,10637.43,3242.29
24,-107.84134,37.91092,10598.23,3230.34
25,-107.84122,37.91121,10541.14,3212.94
26,-107.84112,37.91151,10502.66,3201.21
27,-107.84101,37.91161,10465.85,3189.99
28,-107.84082,37.91175,10411.75,3173.50
29,-107.84065,37.91191,10370.80,3161.02
30,-107.84058,37.91200,10354.53,3156.06
31,-107.84053,37.91215,10334.38,3149.92
