"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.82280,37.90905,11914.86,3631.65
2,-107.82308,37.90914,11940.72,3639.53
3,-107.82348,37.90932,11857.05,3614.03
4,-107.82415,37.90960,11697.11,3565.28
5,-107.82465,37.90980,11591.77,3533.17
6,-107.82504,37.90993,11523.79,3512.45
7,-107.82539,37.91000,11472.47,3496.81
8,-107.82586,37.91010,11410.17,3477.82
9,-107.82619,37.91018,11374.74,3467.02
10,-107.82683,37.91025,11231.10,3423.24
11,-107.82719,37.91030,11184.06,3408.90
12,-107.82746,37.91040,11164.73,3403.01
13,-107.82753,37.91044,11159.06,3401.28
14,-107.82788,37.91063,11120.34,3389.48
15,-107.82815,37.91080,11092.45,3380.98
16,-107.82838,37.91095,11069.75,3374.06
17,-107.82847,37.91104,11060.17,3371.14
18,-107.82855,37.91113,11050.69,3368.25
