"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.82430,37.90212,12142.98,3701.18
2,-107.82442,37.90209,12127.66,3696.51
3,-107.82468,37.90203,12090.03,3685.04
4,-107.82514,37.90192,12005.87,3659.39
5,-107.82610,37.90192,11838.94,3608.51
6,-107.82688,37.90205,11678.58,3559.63
7,-107.82771,37.90226,11546.62,3519.41
8,-107.82864,37.90249,11406.00,3476.55
9,-107.82922,37.90271,11332.19,3454.05
10,-107.83001,37.90288,11247.38,3428.20
11,-107.83090,37.90295,11121.52,3389.84
12,-107.83160,37.90298,11072.87,3375.01
13,-107.83190,37.90320,11041.21,3365.36
14,-107.83222,37.90346,11012.30,3356.55
15,-107.83273,37.90375,10976.64,3345.68
16,-107.83318,37.90398,10932.02,3332.08
17,-107.83376,37.90412,10888.65,3318.86
18,-107.83454,37.90434,10805.77,3293.60
19,-107.83498,37.90455,10775.10,3284.25
