"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.84248,37.90189,11109.91,3386.30
2,-107.84220,37.90218,11101.15,3383.63
3,-107.84202,37.90237,11095.21,3381.82
4,-107.84173,37.90284,11087.83,3379.57
5,-107.84163,37.90324,11081.40,3377.61
6,-107.84154,37.90373,11068.11,3373.56
7,-107.84151,37.90430,11050.59,3368.22
8,-107.84134,37.90469,11041.80,3365.54
9,-107.84113,37.90480,11030.15,3361.99
10,-107.84102,37.90488,11023.23,3359.88
11,-107.84100,37.90513,11017.59,3358.16
12,-107.84100,37.90535,11009.45,3355.68
13,-107.84101,37.90597,10996.69,3351.79
14,-107.84097,37.90647,10980.25,3346.78
15,-107.84088,37.90692,10938.71,3334.12
16,-107.84076,37.90773,10858.83,3309.77
17,-107.84097,37.90844,10825.39,3299.58
18,-107.84110,37.90884,10823.82,3299.10
19,-107.84119,37.90939,10794.78,3290.25
20,-107.84128,37.90983,10730.02,3270.51
21,-107.84145,37.91069,10637.43,3242.29
