"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.84850,37.91055,10894.49,3320.64
2,-107.84822,37.91068,10890.65,3319.47
3,-107.84792,37.91092,10872.28,3313.87
4,-107.84766,37.91131,10850.82,3307.33
5,-107.84742,37.91171,10834.15,3302.25
6,-107.84735,37.91207,10823.69,3299.06
7,-107.84739,37.91256,10804.53,3293.22
8,-107.84741,37.91289,10788.09,3288.21
9,-107.84729,37.91334,10770.57,3282.87
10,-107.84699,37.91375,10758.89,3279.31
11,-107.84659,37.91419,10745.93,3275.36
12,-107.84632,37.91454,10734.45,3271.86
13,-107.84617,37.91489,10725.26,3269.06
14,-107.84610,37.91537,10707.97,3263.79
15,-107.84598,37.91584,10671.82,3252.77
16,-107.84573,37.91621,10629.66,3239.92
17,-107.84545,37.91650,10597.90,3230.24
18,-107.84526,37.91703,10562.76,3219.53
19,-107.84505,37.91763,10523.43,3207.54
20,-107.84483,37.91832,10454.86,3186.64
21,-107.84475,37.91904,10382.35,3164.54
22,-107.84487,37.91959,10335.40,3150.23
23,-107.84513,37.92014,10276.25,3132.20
24,-107.84557,37.92079,10192.88,3106.79
25,-107.84608,37.92149,10140.55,3090.84
26,-107.84652,37.92222,10076.28,3071.25
27,-107.84677,37.92269,10043.50,3061.26
