"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.85584,37.91363,10550.82,3215.89
2,-107.85622,37.91390,10535.40,3211.19
3,-107.85668,37.91416,10515.85,3205.23
4,-107.85717,37.91443,10494.03,3198.58
5,-107.85742,37.91463,10479.20,3194.06
6,-107.85792,37.91496,10455.54,3186.85
7,-107.85831,37.91535,10429.69,3178.97
8,-107.85871,37.91571,10402.13,3170.57
9,-107.85906,37.91592,10378.74,3163.44
10,-107.85938,37.91612,10355.09,3156.23
11,-107.85957,37.91648,10317.09,3144.65
12,-107.85979,37.91700,10259.81,3127.19
13,-107.85996,37.91729,10225.62,3116.77
14,-107.86030,37.91751,10205.22,3110.55
15,-107.86078,37.91773,10176.54,3101.81
16,-107.86119,37.91787,10164.90,3098.26
17,-107.86142,37.91804,10156.56,3095.72
18,-107.86166,37.91832,10143.21,3091.65
19,-107.86181,37.91883,10114.24,3082.82
20,-107.86188,37.91924,10085.01,3073.91
21,-107.86201,37.91960,10063.78,3067.44
22,-107.86211,37.91985,10049.80,3063.18
23,-107.86220,37.92023,10024.44,3055.45
24,-107.86237,37.92049,10004.50,3049.37
25,-107.86268,37.92080,9981.27,3042.29
26,-107.86286,37.92101,9962.27,3036.50
27,-107.86293,37.92123,9951.94,3033.35
28,-107.86295,37.92150,9945.47,3031.38
29,-107.86300,37.92172,9940.32,3029.81
30,-107.86323,37.92194,9929.95,3026.65
31,-107.86347,37.92224,9917.09,3022.73
32,-107.86366,37.92252,9908.24,3020.03
33,-107.86372,37.92282,9900.98,3017.82
34,-107.86371,37.92325,9882.51,3012.19
35,-107.86366,37.92366,9860.11,3005.36
36,-107.86364,37.92404,9829.89,2996.15
37,-107.86367,37.92429,9826.05,2994.98
38,-107.86377,37.92461,9819.98,2993.13
39,-107.86391,37.92522,9802.76,2987.88
40,-107.86397,37.92546,9802.30,2987.74
41,-107.86404,37.92563,9799.80,2986.98
