"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.85974,37.92444,9904.72,3018.96
2,-107.85981,37.92456,9900.92,3017.80
3,-107.85994,37.92488,9891.63,3014.97
4,-107.85998,37.92525,9883.04,3012.35
5,-107.85997,37.92568,9873.52,3009.45
6,-107.85989,37.92606,9858.92,3005.00
7,-107.85975,37.92643,9847.18,3001.42
8,-107.85962,37.92668,9838.98,2998.92
9,-107.85933,37.92711,9815.26,2991.69
10,-107.85903,37.92738,9794.75,2985.44
11,-107.85883,37.92763,9767.13,2977.02
12,-107.85856,37.92797,9768.96,2977.58
13,-107.85840,37.92826,9745.44,2970.41
14,-107.85829,37.92862,9732.81,2966.56
15,-107.85826,37.92887,9712.70,2960.43
16,-107.85837,37.92911,9691.11,2953.85
17,-107.85854,37.92938,9669.75,2947.34
18,-107.85871,37.92965,9647.87,2940.67
19,-107.85890,37.93009,9613.48,2930.19
20,-107.85898,37.93034,9604.82,2927.55
21,-107.85909,37.93064,9593.14,2923.99
22,-107.85927,37.93090,9583.27,2920.98
23,-107.85947,37.93124,9572.74,2917.77
24,-107.85984,37.93166,9558.73,2913.50
25,-107.86018,37.93197,9548.20,2910.29
26,-107.86054,37.93225,9535.30,2906.36
27,-107.86076,37.93248,9525.49,2903.37
28,-107.86094,37.93290,9502.03,2896.22
29,-107.86112,37.93316,9477.40,2888.71
30,-107.86124,37.93331,9466.17,2885.29
31,-107.86128,37.93345,9456.40,2882.31
32,-107.86130,37.93365,9461.29,2883.80
