"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.82002,37.93137,9844.88,3000.72
2,-107.81997,37.93148,9839.76,2999.16
3,-107.82008,37.93159,9836.98,2998.31
4,-107.82068,37.93172,9803.45,2988.09
5,-107.82117,37.93192,9768.37,2977.40
6,-107.82158,37.93203,9742.19,2969.42
7,-107.82238,37.93235,9687.70,2952.81
8,-107.82283,37.93251,9661.71,2944.89
9,-107.82323,37.93264,9642.26,2938.96
10,-107.82357,37.93265,9624.67,2933.60
11,-107.82403,37.93273,9593.70,2924.16
12,-107.82443,37.93287,9570.01,2916.94
13,-107.82477,37.93301,9558.92,2913.56
14,-107.82494,37.93322,9542.59,2908.58
15,-107.82491,37.93356,9529.07,2904.46
16,-107.82470,37.93382,9502.82,2896.46
17,-107.82443,37.93392,9477.82,2888.84
18,-107.82400,37.93398,9453.38,2881.39
19,-107.82365,37.93391,9434.25,2875.56
20,-107.82333,37.93384,9413.55,2869.25
21,-107.82310,37.93383,9399.48,2864.96
22,-107.82277,37.93374,9387.89,2861.43
