"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.82369,37.90258,12245.37,3732.39
2,-107.82365,37.90252,12242.00,3731.36
3,-107.82364,37.90244,12232.61,3728.50
4,-107.82365,37.90227,12217.06,3723.76
5,-107.82366,37.90216,12210.83,3721.86
6,-107.82363,37.90211,12209.71,3721.52
7,-107.82360,37.90208,12209.51,3721.46
8,-107.82317,37.90210,12172.54,3710.19
9,-107.82270,37.90213,12108.76,3690.75
10,-107.82210,37.90213,11998.98,3657.29
11,-107.82193,37.90215,11975.69,3650.19
12,-107.82179,37.90217,11951.05,3642.68
13,-107.82147,37.90228,11914.34,3631.49
14,-107.82068,37.90254,11837.73,3608.14
15,-107.82062,37.90255,11835.79,3607.55
16,-107.82057,37.90256,11832.22,3606.46
17,-107.82050,37.90255,11821.46,3603.18
18,-107.82043,37.90254,11817.32,3601.92
19,-107.82039,37.90255,11814.80,3601.15
20,-107.82028,37.90255,11808.20,3599.14
21,-107.82019,37.90257,11800.66,3596.84
22,-107.82008,37.90263,11785.07,3592.09
23,-107.81983,37.90273,11760.89,3584.72
24,-107.81948,37.90296,11729.36,3575.11
25,-107.81941,37.90298,11724.57,3573.65
26,-107.81935,37.90300,11721.33,3572.66
27,-107.81928,37.90299,11716.67,3571.24
28,-107.81922,37.90296,11719.29,3572.04
29,-107.81921,37.90292,11720.87,3572.52
30,-107.81925,37.90286,11722.21,3572.93
