"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.82962,37.91017,11187.14,3409.84
2,-107.82953,37.91012,11186.02,3409.50
3,-107.82949,37.91011,11185.43,3409.32
4,-107.82945,37.91012,11184.15,3408.93
5,-107.82940,37.91016,11182.32,3408.37
6,-107.82938,37.91022,11179.99,3407.66
7,-107.82940,37.91033,11172.24,3405.30
8,-107.82947,37.91051,11154.79,3399.98
9,-107.82958,37.91074,11125.95,3391.19
10,-107.82963,37.91086,11115.55,3388.02
11,-107.82972,37.91102,11099.28,3383.06
12,-107.82977,37.91117,11074.08,3375.38
13,-107.82981,37.91130,11055.15,3369.61
14,-107.82984,37.91140,11038.25,3364.46
15,-107.82982,37.91186,10974.90,3345.15
16,-107.82981,37.91200,10960.89,3340.88
17,-107.82982,37.91211,10952.89,3338.44
18,-107.82985,37.91220,10946.16,3336.39
19,-107.82987,37.91231,10938.03,3333.91
20,-107.82992,37.91245,10927.07,3330.57
21,-107.83000,37.91288,10907.94,3324.74
22,-107.83006,37.91307,10903.28,3323.32
23,-107.83016,37.91326,10895.93,3321.08
24,-107.83041,37.91375,10880.15,3316.27
25,-107.83044,37.91382,10878.41,3315.74
26,-107.83049,37.91388,10875.20,3314.76
27,-107.83057,37.91398,10870.83,3313.43
28,-107.83067,37.91407,10864.86,3311.61
29,-107.83107,37.91434,10851.08,3307.41
30,-107.83138,37.91460,10834.22,3302.27
31,-107.83158,37.91487,10817.00,3297.02
32,-107.83169,37.91505,10803.08,3292.78
33,-107.83181,37.91536,10778.51,3285.29
34,-107.83189,37.91557,10763.12,3280.60
35,-107.83194,37.91564,10760.47,3279.79
36,-107.83197,37.91568,10758.24,3279.11
37,-107.83217,37.91588,10743.80,3274.71
38,-107.83243,37.91607,10716.70,3266.45
39,-107.83322,37.91669,10639.90,3243.04
40,-107.83340,37.91680,10620.96,3237.27
41,-107.83358,37.91689,10603.31,3231.89
42,-107.83384,37.91702,10570.08,3221.76
43,-107.83423,37.91717,10517.55,3205.75
44,-107.83490,37.91743,10470.51,3191.41
