"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.83037,37.91017,11147.51,3397.76
2,-107.83053,37.91035,11134.91,3393.92
3,-107.83068,37.91053,11121.29,3389.77
4,-107.83084,37.91079,11103.05,3384.21
5,-107.83095,37.91104,11087.34,3379.42
6,-107.83113,37.91147,11053.35,3369.06
7,-107.83118,37.91171,11026.41,3360.85
8,-107.83118,37.91190,11001.87,3353.37
9,-107.83112,37.91207,10976.51,3345.64
10,-107.83092,37.91255,10909.84,3325.32
11,-107.83092,37.91267,10897.11,3321.44
12,-107.83094,37.91277,10887.50,3318.51
13,-107.83100,37.91287,10877.82,3315.56
14,-107.83106,37.91295,10869.95,3313.16
15,-107.83149,37.91326,10838.94,3303.71
16,-107.83197,37.91365,10794.06,3290.03
17,-107.83233,37.91407,10753.84,3277.77
18,-107.83254,37.91435,10730.84,3270.76
19,-107.83351,37.91567,10645.83,3244.85
20,-107.83362,37.91581,10634.71,3241.46
21,-107.83437,37.91678,10535.96,3211.36
22,-107.83456,37.91713,10504.30,3201.71
23,-107.83471,37.91728,10483.53,3195.38
24,-107.83490,37.91743,10470.51,3191.41
25,-107.83553,37.91781,10439.96,3182.10
26,-107.83632,37.91834,10403.81,3171.08
27,-107.83643,37.91839,10398.92,3169.59
28,-107.83653,37.91845,10394.52,3168.25
29,-107.83662,37.91848,10391.37,3167.29
30,-107.83673,37.91850,10387.50,3166.11
31,-107.83681,37.91851,10385.11,3165.38
32,-107.83692,37.91850,10380.68,3164.03
33,-107.83704,37.91849,10376.54,3162.77
34,-107.83722,37.91845,10370.87,3161.04
35,-107.83747,37.91841,10363.19,3158.70
36,-107.83756,37.91840,10360.73,3157.95
37,-107.83765,37.91841,10358.01,3157.12
38,-107.83772,37.91842,10355.94,3156.49
39,-107.83778,37.91845,10353.54,3155.76
40,-107.83784,37.91849,10351.02,3154.99
41,-107.83790,37.91855,10346.82,3153.71
42,-107.83796,37.91863,10343.01,3152.55
43,-107.83871,37.92048,10272.38,3131.02
