"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.82369,37.91527,11753.38,3582.43
2,-107.82499,37.91495,11531.79,3514.89
3,-107.82537,37.91481,11454.76,3491.41
4,-107.82575,37.91462,11369.23,3465.34
5,-107.82617,37.91434,11267.09,3434.21
6,-107.82664,37.91397,11154.33,3399.84
7,-107.82693,37.91385,11104.82,3384.75
8,-107.82734,37.91383,11067.75,3373.45
9,-107.82788,37.91399,11009.09,3355.57
10,-107.82909,37.91433,10892.09,3319.91
11,-107.82969,37.91453,10844.32,3305.35
12,-107.83002,37.91468,10821.85,3298.50
13,-107.83013,37.91475,10818.34,3297.43
14,-107.83016,37.91483,10818.11,3297.36
