"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-107.83803,37.89403,11490.45,3502.29
2,-107.83798,37.89404,11486.42,3501.06
3,-107.83692,37.89424,11413.09,3478.71
4,-107.83658,37.89435,11386.61,3470.64
5,-107.83647,37.89438,11389.34,3471.47
6,-107.83610,37.89448,11384.38,3469.96
7,-107.83577,37.89462,11366.50,3464.51
8,-107.83546,37.89483,11339.96,3456.42
9,-107.83507,37.89511,11297.47,3443.47
10,-107.83489,37.89534,11275.36,3436.73
11,-107.83479,37.89554,11267.88,3434.45
12,-107.83472,37.89579,11260.79,3432.29
13,-107.83457,37.89725,11224.80,3421.32
14,-107.83455,37.89730,11225.92,3421.66
15,-107.83439,37.89740,11223.33,3420.87
16,-107.83430,37.89747,11221.75,3420.39
17,-107.83426,37.89756,11219.52,3419.71
18,-107.83424,37.89766,11217.00,3418.94
19,-107.83425,37.89776,11215.35,3418.44
20,-107.83426,37.89785,11213.88,3417.99
21,-107.83436,37.89802,11208.17,3416.25
22,-107.83463,37.89831,11162.34,3402.28
23,-107.83471,37.89859,11132.87,3393.30
24,-107.83477,37.89881,11114.99,3387.85
25,-107.83478,37.89927,11083.04,3378.11
26,-107.83452,37.90056,10969.59,3343.53
27,-107.83429,37.90153,10907.71,3324.67
28,-107.83428,37.90179,10897.61,3321.59
29,-107.83434,37.90199,10900.92,3322.60
30,-107.83457,37.90258,10878.18,3315.67
31,-107.83469,37.90320,10831.46,3301.43
32,-107.83462,37.90331,10829.66,3300.88
33,-107.83457,37.90340,10826.54,3299.93
34,-107.83453,37.90351,10820.44,3298.07
35,-107.83452,37.90364,10819.23,3297.70
36,-107.83453,37.90377,10815.16,3296.46
37,-107.83460,37.90400,10801.87,3292.41
38,-107.83468,37.90419,10794.95,3290.30
39,-107.83483,37.90442,10782.22,3286.42
40,-107.83498,37.90455,10775.10,3284.25
